# tracer: nop
#
# entries-in-buffer/entries-written: 311/211043   #P:9
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 inator.freemium-28057   [008] DNZff 1318392.155094: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155095: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155095: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155096: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155097: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155098: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155098: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155099: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155100: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155101: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155102: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155102: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155103: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155104: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155105: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155105: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155106: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155107: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155108: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155108: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155109: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155110: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155111: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155111: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155112: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155113: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155114: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155115: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155115: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155116: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155117: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155118: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155118: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155119: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155120: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155121: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155121: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155122: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155123: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155124: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155125: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155125: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155126: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155127: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155128: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155128: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155129: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155130: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155131: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155131: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155132: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155133: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155134: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155134: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155135: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155136: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155137: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155137: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155138: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155139: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155140: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155140: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155141: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155142: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155143: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155143: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155144: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155145: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155146: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155146: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155147: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155148: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155149: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155150: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155150: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155151: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155152: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155153: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155153: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155154: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155155: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155156: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155156: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155157: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155158: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155159: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155159: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155160: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155161: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155162: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155162: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155163: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155164: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155165: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155165: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155166: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155167: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155168: pairip_crash_pc: (0x7b66f8775c)
 inator.freemium-28057   [008] DNZff 1318392.155169: pairip_crash_pc: (0x7b66f8775c)
