Slot Name,cpm,Price Points,Encoded Price Points,Slot Size,Create Date
m320x50,0.01,m320x50p1,1qugqgw,320x50,09/16/2020
m320x50,0.02,m320x50p2,9kmozk,320x50,09/16/2020
m320x50,0.03,m320x50p3,1936pz4,320x50,09/16/2020
m320x50,0.04,m320x50p4,ig9p8g,320x50,09/16/2020
m320x50,0.05,m320x50p5,1hytq80,320x50,09/16/2020
m320x50,0.06,m320x50p6,ozoqo,320x50,09/16/2020
m320x50,0.07,m320x50p7,107jpq8,320x50,09/16/2020
m320x50,0.08,m320x50p8,vrq7ls,320x50,09/16/2020
m320x50,0.09,m320x50p9,1vaa8lc,320x50,09/16/2020
m320x50,0.1,m320x50p10,e0g740,320x50,09/16/2020
m320x50,0.11,m320x50p11,1dj083k,320x50,09/16/2020
m320x50,0.12,m320x50p12,mw37cw,320x50,09/16/2020
m320x50,0.13,m320x50p13,1men8cg,320x50,09/16/2020
m320x50,0.14,m320x50p14,54t6v4,320x50,09/16/2020
m320x50,0.15,m320x50p15,14nd7uo,320x50,09/16/2020
m320x50,0.16,m320x50p16,tjtgjk,320x50,09/16/2020
m320x50,0.17,m320x50p17,1t2dhj4,320x50,09/16/2020
m320x50,0.18,m320x50p18,bsjg1s,320x50,09/16/2020
m320x50,0.19,m320x50p19,1bb3h1c,320x50,09/16/2020
m320x50,0.2,m320x50p20,ko6gao,320x50,09/16/2020
m320x50,0.21,m320x50p21,1k6qha8,320x50,09/16/2020
m320x50,0.22,m320x50p22,2wwfsw,320x50,09/16/2020
m320x50,0.23,m320x50p23,12fggsg,320x50,09/16/2020
m320x50,0.24,m320x50p24,xzmyo0,320x50,09/16/2020
m320x50,0.25,m320x50p25,1xi6znk,320x50,09/16/2020
m320x50,0.26,m320x50p26,g8cy68,320x50,09/16/2020
m320x50,0.27,m320x50p27,1fqwz5s,320x50,09/16/2020
m320x50,0.28,m320x50p28,p3zyf4,320x50,09/16/2020
m320x50,0.29,m320x50p29,1omjzeo,320x50,09/16/2020
m320x50,0.3,m320x50p30,7cpxxc,320x50,09/16/2020
m320x50,0.31,m320x50p31,16v9yww,320x50,09/16/2020
m320x50,0.32,m320x50p32,sfv30g,320x50,09/16/2020
m320x50,0.33,m320x50p33,1ryf400,320x50,09/16/2020
m320x50,0.34,m320x50p34,aol2io,320x50,09/16/2020
m320x50,0.35,m320x50p35,1a753i8,320x50,09/16/2020
m320x50,0.36,m320x50p36,jk82rk,320x50,09/16/2020
m320x50,0.37,m320x50p37,1j2s3r4,320x50,09/16/2020
m320x50,0.38,m320x50p38,1sy29s,320x50,09/16/2020
m320x50,0.39,m320x50p39,11bi39c,320x50,09/16/2020
m320x50,0.4,m320x50p40,wvol4w,320x50,09/16/2020
m320x50,0.41,m320x50p41,1we8m4g,320x50,09/16/2020
m320x50,0.42,m320x50p42,f4ekn4,320x50,09/16/2020
m320x50,0.43,m320x50p43,1emylmo,320x50,09/16/2020
m320x50,0.44,m320x50p44,o01kw0,320x50,09/16/2020
m320x50,0.45,m320x50p45,1nillvk,320x50,09/16/2020
m320x50,0.46,m320x50p46,68rke8,320x50,09/16/2020
m320x50,0.47,m320x50p47,15rblds,320x50,09/16/2020
m320x50,0.48,m320x50p48,unru2o,320x50,09/16/2020
m320x50,0.49,m320x50p49,1u6bv28,320x50,09/16/2020
m320x50,0.5,m320x50p50,cwhtkw,320x50,09/16/2020
m320x50,0.51,m320x50p51,1cf1ukg,320x50,09/16/2020
m320x50,0.52,m320x50p52,ls4tts,320x50,09/16/2020
m320x50,0.53,m320x50p53,1laoutc,320x50,09/16/2020
